preço,endereço,área,quartos,vagas,bairro
R$ 1.295.000,Rua Paula Ney,94 m²,3 quartos,2 vagas, Aclimação
R$ 1.410.000,Rua Castro Alves,195 m²,4 quartos,3 vagas, Aclimação
R$ 899.000,Rua Urano,118 m²,3 quartos,2 vagas, Aclimação
R$ 540.000,Rua Álvaro Guimarães,29 m²,Studio,1 vaga, Aclimação
R$ 1.175.000,Rua Bartolomeu de Gusmão,135 m²,4 quartos,2 vagas, Aclimação
R$ 633.000,Rua Rodrigo Cláudio,65 m²,3 quartos,2 vagas, Aclimação
R$ 1.570.000,Rua Rodrigo Cláudio,184 m²,3 quartos,2 vagas, Aclimação
R$ 2.150.000,Rua Machado de Assis,168 m²,3 quartos,3 vagas, Aclimação
R$ 460.000,Rua Machado de Assis,84 m²,2 quartos,Sem vaga, Aclimação
"R$ 577.382,25",Rua Paula Ney,78 m²,2 quartos,1 vaga, Aclimação
R$ 1.199.000,Rua Dona Brígida,87 m²,1 quarto,2 vagas, Aclimação
R$ 995.000,Rua Gaspar Lourenço,86 m²,2 quartos,1 vaga, Aclimação
R$ 650.000,Rua Gregório Serrão,56 m²,2 quartos,1 vaga, Aclimação
R$ 620.000,Rua Paula Ney,74 m²,2 quartos,2 vagas, Aclimação
R$ 330.000,Rua Carlos Petit,35 m²,1 quarto,1 vaga, Aclimação
R$ 455.000,Rua Paula Ney,86 m²,2 quartos,Sem vaga, Aclimação
R$ 1.520.000,Rua Rodrigo Cláudio,183 m²,3 quartos,3 vagas, Aclimação
R$ 1.255.000,Rua Almeida Torres,76 m²,2 quartos,1 vaga, Aclimação
R$ 1.125.000,Rua Carlos Petit,74 m²,2 quartos,2 vagas, Aclimação
R$ 1.125.000,Rua Nilo,74 m²,1 quarto,2 vagas, Aclimação
R$ 495.000,Rua Baltazar Lisboa,34 m²,1 quarto,1 vaga, Aclimação
R$ 745.000,Rua Dona Avelina,77 m²,3 quartos,1 vaga, Aclimação
R$ 424.000,Rua Gaspar Lourenço,32 m²,1 quarto,Sem vaga, Aclimação
R$ 690.000,Rua Albina Barbosa,65 m²,2 quartos,2 vagas, Aclimação
R$ 2.500.000,Rua Almeida Torres,134 m²,2 quartos,2 vagas, Aclimação
R$ 1.400.000,Rua Doutor Nicolau de Sousa Queirós,137 m²,3 quartos,2 vagas, Aclimação
R$ 1.200.000,Rua Doutor Nicolau de Sousa Queirós,135 m²,3 quartos,1 vaga, Aclimação
R$ 960.000,Rua Paula Ney,67 m²,2 quartos,2 vagas, Aclimação
R$ 830.000,Rua Topázio,55 m²,1 quarto,1 vaga, Aclimação
"R$ 1.015.866,39",Rua Doutor Nicolau de Sousa Queirós,137 m²,3 quartos,1 vaga, Aclimação
R$ 750.000,Rua Bueno de Andrade,79 m²,3 quartos,2 vagas, Aclimação
R$ 359.000,Rua Tenente Azevedo,50 m²,1 quarto,Sem vaga, Aclimação
R$ 950.000,Rua Dona Brígida,70 m²,2 quartos,2 vagas, Aclimação
R$ 1.050.000,Rua Paula Ney,70 m²,2 quartos,2 vagas, Aclimação
R$ 730.000,Rua Castro Alves,65 m²,2 quartos,2 vagas, Aclimação
R$ 650.000,Rua Topázio,33 m²,1 quarto,1 vaga, Aclimação
R$ 850.000,Rua Espírito Santo,103 m²,2 quartos,2 vagas, Aclimação
R$ 2.070.000,Rua Joaquim Távora,140 m²,3 quartos,2 vagas, Aclimação
R$ 457.000,Rua Doutor Nicolau de Sousa Queirós,82 m²,2 quartos,Sem vaga, Aclimação
R$ 460.000,Rua Vergueiro,24 m²,1 quarto,Sem vaga, Aclimação
R$ 1.650.000,Rua Safira,167 m²,3 quartos,3 vagas, Aclimação
R$ 1.900.000,Rua Castro Alves,250 m²,4 quartos,3 vagas, Aclimação
R$ 384.000,Rua Gaspar Lourenço,32 m²,1 quarto,Sem vaga, Aclimação
R$ 2.395.000,Rua Dona Carolina,150 m²,3 quartos,3 vagas, Aclimação
R$ 4.400.000,Rua Nilo,272 m²,4 quartos,6 vagas, Aclimação
R$ 960.000,Rua Almeida Torres,76 m²,2 quartos,1 vaga, Aclimação
R$ 1.020.000,Rua Paula Ney,69 m²,2 quartos,1 vaga, Aclimação
R$ 3.200.000,Rua Castro Alves,342 m²,4 quartos,4 vagas, Aclimação
R$ 2.250.000,Rua Castro Alves,250 m²,4 quartos,2 vagas, Aclimação
"R$ 1.244.170,56",Avenida Armando Ferrentini,115 m²,3 quartos,2 vagas, Aclimação
R$ 360.000,Rua Paula Ney,25 m²,1 quarto,Sem vaga, Aclimação
R$ 575.000,Rua Vergueiro,24 m²,1 quarto,Sem vaga, Aclimação
R$ 1.000.000,Rua Paula Ney,84 m²,2 quartos,1 vaga, Aclimação
R$ 1.700.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,200 m²,4 quartos,4 vagas, Aclimação
R$ 1.060.000,Rua Carlos Petit,73 m²,1 quarto,2 vagas, Aclimação
"R$ 674.172,12",Rua Bueno de Andrade,65 m²,3 quartos,2 vagas, Aclimação
R$ 650.000,Rua da União,100 m²,2 quartos,1 vaga, Aclimação
R$ 2.430.000,Rua Rodrigo Cláudio,110 m²,4 quartos,4 vagas, Aclimação
R$ 545.000,Rua José do Patrocínio,84 m²,2 quartos,1 vaga, Aclimação
R$ 320.000,Rua Tenente Azevedo,50 m²,2 quartos,1 vaga, Aclimação
"R$ 1.758.251,48",Rua Júpiter,220 m²,4 quartos,3 vagas, Aclimação
R$ 2.380.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,198 m²,4 quartos,3 vagas, Aclimação
R$ 310.000,Rua Vergueiro,14 m²,1 quarto,Sem vaga, Aclimação
R$ 1.300.000,Rua Doutor Nicolau de Sousa Queirós,137 m²,3 quartos,1 vaga, Aclimação
R$ 820.000,Rua Paula Ney,81 m²,3 quartos,2 vagas, Aclimação
R$ 729.000,Rua Gaspar Lourenço,47 m²,2 quartos,1 vaga, Aclimação
R$ 780.000,Rua Espírito Santo,76 m²,2 quartos,2 vagas, Aclimação
R$ 2.500.000,Rua Loureiro da Cruz,226 m²,4 quartos,3 vagas, Aclimação
R$ 630.000,Rua Tenente Azevedo,120 m²,3 quartos,1 vaga, Aclimação
R$ 4.500.000,Rua Nilo,272 m²,4 quartos,6 vagas, Aclimação
R$ 580.000,Avenida Lacerda Franco,87 m²,2 quartos,1 vaga, Aclimação
R$ 525.000,Rua Mazzini,88 m²,2 quartos,1 vaga, Aclimação
R$ 342.000,Rua Bueno de Andrade,45 m²,2 quartos,1 vaga, Aclimação
R$ 4.200.000,Rua Castro Alves,370 m²,4 quartos,4 vagas, Aclimação
R$ 300.000,Rua Topázio,44 m²,1 quarto,Sem vaga, Aclimação
R$ 4.600.000,Avenida Armando Ferrentini,423 m²,4 quartos,6 vagas, Aclimação
R$ 650.000,Rua Gaspar Lourenço,43 m²,2 quartos,1 vaga, Aclimação
R$ 2.550.000,Rua Correia Dias,181 m²,3 quartos,3 vagas, Aclimação
R$ 2.450.000,Rua Dona Carolina,150 m²,3 quartos,1 vaga, Aclimação
R$ 740.000,Rua Bueno de Andrade,80 m²,3 quartos,2 vagas, Aclimação
"R$ 1.095.500,49",Rua Baturité,120 m²,3 quartos,3 vagas, Aclimação
R$ 690.000,Rua Gaspar Lourenço,49 m²,2 quartos,1 vaga, Aclimação
R$ 1.900.000,Rua Castro Alves,145 m²,4 quartos,3 vagas, Aclimação
R$ 3.300.000,Rua Júpiter,598 m²,4 quartos,3 vagas, Aclimação
R$ 1.300.000,Rua Loureiro da Cruz,136 m²,3 quartos,2 vagas, Aclimação
"R$ 876.646,67",Rua Augusto de Toledo,110 m²,3 quartos,2 vagas, Aclimação
R$ 969.000,Rua Paula Ney,60 m²,2 quartos,1 vaga, Aclimação
R$ 920.000,Rua Urano,118 m²,3 quartos,2 vagas, Aclimação
R$ 1.900.000,Rua Rodrigo Cláudio,326 m²,6 quartos,3 vagas, Aclimação
R$ 2.380.000,Rua Carlos Petit,178 m²,3 quartos,3 vagas, Aclimação
R$ 1.100.000,Rua Rodrigo Cláudio,150 m²,3 quartos,2 vagas, Aclimação
R$ 1.199.000,Rua Paula Ney,72 m²,3 quartos,2 vagas, Aclimação
R$ 730.000,Rua Doutor Neto de Araújo,57 m²,1 quarto,1 vaga, Aclimação
"R$ 899.431,06",Rua Augusto de Toledo,119 m²,3 quartos,2 vagas, Aclimação
"R$ 1.201.390,05",Rua Bartolomeu de Gusmão,135 m²,4 quartos,2 vagas, Aclimação
R$ 1.500.000,Rua Júpiter,182 m²,4 quartos,3 vagas, Aclimação
R$ 1.100.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,146 m²,3 quartos,2 vagas, Aclimação
R$ 3.800.000,Rua Guimarães Passos,252 m²,4 quartos,4 vagas, Aclimação
R$ 1.500.000,Rua Júpiter,190 m²,3 quartos,2 vagas, Aclimação
R$ 1.750.000,Rua Castro Alves,196 m²,3 quartos,3 vagas, Aclimação
R$ 1.100.000,Rua Pires da Mota,97 m²,4 quartos,1 vaga, Aclimação
R$ 900.000,Rua Topázio,49 m²,2 quartos,1 vaga, Aclimação
R$ 330.000,Rua Muniz de Sousa,43 m²,1 quarto,Sem vaga, Aclimação
R$ 766.000,Rua Bartolomeu de Gusmão,70 m²,2 quartos,1 vaga, Aclimação
R$ 1.250.000,Rua Bartolomeu de Gusmão,135 m²,4 quartos,2 vagas, Aclimação
R$ 1.520.000,Rua Rodrigo Cláudio,161 m²,3 quartos,3 vagas, Aclimação
R$ 1.280.000,Rua Castro Alves,195 m²,4 quartos,3 vagas, Aclimação
R$ 1.290.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,170 m²,4 quartos,3 vagas, Aclimação
R$ 570.000,Rua Doutor Nicolau de Sousa Queirós,54 m²,2 quartos,1 vaga, Aclimação
R$ 1.700.000,Rua Paulo Orozimbo,234 m²,3 quartos,3 vagas, Aclimação
R$ 670.000,Rua Espírito Santo,104 m²,2 quartos,1 vaga, Aclimação
R$ 1.750.000,Rua Paulo Orozimbo,210 m²,3 quartos,3 vagas, Aclimação
R$ 1.000.000,Rua Paula Ney,81 m²,3 quartos,2 vagas, Aclimação
R$ 1.242.000,Rua Paulo Orozimbo,78 m²,2 quartos,2 vagas, Aclimação
R$ 2.368.457,Rua Doutor Neto de Araújo,212 m²,4 quartos,2 vagas, Aclimação
R$ 750.000,Rua Dona Avelina,70 m²,1 quarto,1 vaga, Aclimação
"R$ 526.544,8",Rua Loureiro da Cruz,50 m²,2 quartos,1 vaga, Aclimação
"R$ 752.879,94",Rua Doutor Nicolau de Sousa Queirós,124 m²,4 quartos,1 vaga, Aclimação
R$ 1.250.000,Rua Rodrigo Cláudio,189 m²,4 quartos,3 vagas, Aclimação
R$ 950.000,Rua Topázio,117 m²,3 quartos,1 vaga, Aclimação
R$ 800.000,Rua Espírito Santo,76 m²,3 quartos,2 vagas, Aclimação
R$ 700.000,Rua Muniz de Sousa,93 m²,3 quartos,2 vagas, Aclimação
R$ 2.500.000,Rua Júpiter,225 m²,4 quartos,3 vagas, Aclimação
R$ 730.000,Rua Tamandaré,103 m²,3 quartos,3 vagas, Aclimação
R$ 855.000,Avenida Lacerda Franco,87 m²,2 quartos,1 vaga, Aclimação
R$ 850.000,Rua Cardoso de Siqueira,98 m²,3 quartos,2 vagas, Aclimação
R$ 1.850.000,Rua Loureiro da Cruz,230 m²,4 quartos,3 vagas, Aclimação
R$ 900.000,Rua da União,108 m²,2 quartos,1 vaga, Aclimação
R$ 852.000,Rua José do Patrocínio,106 m²,3 quartos,2 vagas, Aclimação
R$ 950.000,Rua Correia Dias,130 m²,3 quartos,1 vaga, Aclimação
R$ 790.000,Rua Topázio,107 m²,3 quartos,2 vagas, Aclimação
R$ 998.000,Rua Topázio,102 m²,3 quartos,1 vaga, Aclimação
R$ 1.900.000,Rua Safira,214 m²,4 quartos,3 vagas, Aclimação
R$ 1.600.000,Rua Rodrigo Cláudio,183 m²,3 quartos,3 vagas, Aclimação
R$ 720.000,Rua Doutor Nicolau de Sousa Queirós,114 m²,2 quartos,1 vaga, Aclimação
R$ 495.000,Rua Pires da Mota,50 m²,2 quartos,1 vaga, Aclimação
R$ 1.600.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,180 m²,4 quartos,3 vagas, Aclimação
R$ 800.000,Rua Espírito Santo,79 m²,2 quartos,1 vaga, Aclimação
"R$ 860.589,96",Rua José Getúlio,150 m²,3 quartos,1 vaga, Aclimação
"R$ 599.629,1",Rua Pires da Mota,70 m²,3 quartos,1 vaga, Aclimação
R$ 720.000,Rua Topázio,100 m²,3 quartos,2 vagas, Aclimação
R$ 1.063.830,Rua Topázio,130 m²,3 quartos,1 vaga, Aclimação
"R$ 796.920,56",Rua Paula Ney,92 m²,3 quartos,Sem vaga, Aclimação
"R$ 504.391,93",Rua Doutor Nicolau de Sousa Queirós,75 m²,2 quartos,Sem vaga, Aclimação
R$ 650.000,Rua Nilo,130 m²,3 quartos,Sem vaga, Aclimação
R$ 950.000,Rua Topázio,111 m²,2 quartos,Sem vaga, Aclimação
R$ 480.000,Avenida Armando Ferrentini,60 m²,1 quarto,1 vaga, Aclimação
R$ 626.000,Rua Paulo Orozimbo,123 m²,3 quartos,1 vaga, Aclimação
R$ 660.000,Avenida da Aclimação,111 m²,2 quartos,Sem vaga, Aclimação
R$ 670.000,Rua Nilo,78 m²,2 quartos,1 vaga, Aclimação
"R$ 1.108.184,54",Rua Topázio,150 m²,3 quartos,Sem vaga, Aclimação
R$ 630.000,Rua Doutor Nicolau de Sousa Queirós,65 m²,2 quartos,1 vaga, Aclimação
R$ 780.000,Rua Batista do Carmo,90 m²,3 quartos,1 vaga, Aclimação
"R$ 486.868,86",Rua Castro Alves,45 m²,1 quarto,Sem vaga, Aclimação
R$ 475.000,Rua Muniz de Sousa,75 m²,2 quartos,Sem vaga, Aclimação
"R$ 653.251,02",Rua Batista do Carmo,99 m²,2 quartos,Sem vaga, Aclimação
R$ 510.000,Rua Pires da Mota,77 m²,3 quartos,Sem vaga, Aclimação
R$ 720.000,Rua Conselheiro Furtado,120 m²,2 quartos,1 vaga, Aclimação
R$ 1.150.000,Rua José Getúlio,167 m²,3 quartos,1 vaga, Aclimação
R$ 692.000,Rua Apeninos,72 m²,1 quarto,1 vaga, Aclimação
R$ 700.000,Rua Espírito Santo,142 m²,3 quartos,1 vaga, Aclimação
R$ 795.000,Rua Castro Alves,72 m²,2 quartos,2 vagas, Aclimação
R$ 1.140.000,Rua Arujá,79 m²,2 quartos,Sem vaga, Aclimação
R$ 426.000,Rua Conselheiro Furtado,54 m²,2 quartos,1 vaga, Aclimação
R$ 490.000,Rua Pais de Andrade,95 m²,2 quartos,Sem vaga, Aclimação
R$ 565.000,Rua Vergueiro,73 m²,2 quartos,1 vaga, Aclimação
R$ 485.000,Avenida Armando Ferrentini,40 m²,1 quarto,1 vaga, Aclimação
R$ 530.000,Rua Artur Sabóia,56 m²,2 quartos,1 vaga, Aclimação
R$ 460.000,Rua Doutor Nicolau de Sousa Queirós,57 m²,1 quarto,Sem vaga, Aclimação
R$ 830.000,Rua Rodrigo Cláudio,88 m²,3 quartos,2 vagas, Aclimação
R$ 700.000,Rua do Paraíso,76 m²,2 quartos,1 vaga, Aclimação
R$ 598.000,Rua Castro Alves,58 m²,2 quartos,1 vaga, Aclimação
R$ 1.850.000,Rua Bartolomeu de Gusmão,151 m²,3 quartos,3 vagas, Aclimação
R$ 998.000,Rua Paula Ney,70 m²,2 quartos,1 vaga, Aclimação
R$ 896.000,Rua Doutor Neto de Araújo,128 m²,2 quartos,Sem vaga, Aclimação
R$ 380.000,Rua Apeninos,35 m²,1 quarto,Sem vaga, Aclimação
R$ 2.100.000,Rua Doutor João Maia,282 m²,4 quartos,4 vagas, Aclimação
R$ 300.000,Rua Bueno de Andrade,39 m²,1 quarto,1 vaga, Aclimação
R$ 570.000,Avenida Lacerda Franco,68 m²,2 quartos,1 vaga, Aclimação
R$ 449.900,Rua Topázio,58 m²,1 quarto,Sem vaga, Aclimação
R$ 630.000,Rua Doutor Neto de Araújo,63 m²,2 quartos,1 vaga, Aclimação
R$ 500.000,Rua Castro Alves,68 m²,3 quartos,Sem vaga, Aclimação
R$ 1.800.000,Rua Safira,184 m²,4 quartos,3 vagas, Aclimação
R$ 470.000,Rua Doutor Nicolau de Sousa Queirós,40 m²,1 quarto,1 vaga, Aclimação
R$ 699.000,Rua Dona Avelina,82 m²,1 quarto,1 vaga, Aclimação
"R$ 333.905,9",Rua Muniz de Sousa,52 m²,1 quarto,Sem vaga, Aclimação
R$ 495.000,Rua Tamandaré,79 m²,2 quartos,1 vaga, Aclimação
R$ 480.000,Rua Gregório Serrão,75 m²,2 quartos,Sem vaga, Aclimação
R$ 335.000,Rua José Getúlio,40 m²,1 quarto,Sem vaga, Aclimação
R$ 510.000,Avenida da Aclimação,55 m²,1 quarto,1 vaga, Aclimação
R$ 420.000,Rua Antônio Tavares,86 m²,2 quartos,Sem vaga, Aclimação
R$ 1.800.000,Rua Castro Alves,185 m²,3 quartos,3 vagas, Aclimação
R$ 478.947,Rua Muniz de Sousa,77 m²,3 quartos,Sem vaga, Aclimação
R$ 460.000,Rua Paulo Orozimbo,66 m²,1 quarto,Sem vaga, Aclimação
R$ 550.000,Rua Alabastro,64 m²,1 quarto,1 vaga, Aclimação
R$ 399.000,Rua Paulo Orozimbo,85 m²,3 quartos,1 vaga, Aclimação
R$ 430.000,Rua Senador Felício dos Santos,78 m²,2 quartos,1 vaga, Aclimação
R$ 355.000,Rua Pires da Mota,58 m²,1 quarto,Sem vaga, Aclimação
R$ 658.000,Rua Paulo Orozimbo,88 m²,2 quartos,1 vaga, Aclimação
R$ 650.000,Rua Apeninos,70 m²,1 quarto,1 vaga, Aclimação
R$ 900.000,Rua Espírito Santo,110 m²,3 quartos,1 vaga, Aclimação
R$ 1.070.000,Rua do Paraíso,100 m²,3 quartos,2 vagas, Aclimação
R$ 270.000,Rua Miguel Teles Júnior,42 m²,1 quarto,Sem vaga, Aclimação
R$ 3.500.000,Rua Guimarães Passos,316 m²,5 quartos,5 vagas, Aclimação
R$ 3.700.000,Rua Guimarães Passos,316 m²,5 quartos,5 vagas, Aclimação
"R$ 283.000,26",Rua Almeida Torres,34 m²,1 quarto,Sem vaga, Aclimação
R$ 586.000,Rua Carlos Petit,55 m²,2 quartos,1 vaga, Aclimação
R$ 1.900.000,Rua Paulo Orozimbo,248 m²,3 quartos,4 vagas, Aclimação
R$ 280.000,Rua Castro Alves,36 m²,1 quarto,Sem vaga, Aclimação
R$ 855.000,Rua Castro Alves,110 m²,3 quartos,1 vaga, Aclimação
R$ 2.380.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,204 m²,4 quartos,5 vagas, Aclimação
R$ 1.180.000,Rua Rodrigo Cláudio,140 m²,4 quartos,2 vagas, Aclimação
R$ 1.070.000,Rua José Getúlio,134 m²,3 quartos,2 vagas, Aclimação
R$ 710.000,Rua Castro Alves,60 m²,2 quartos,2 vagas, Aclimação
R$ 890.000,Rua Machado de Assis,58 m²,2 quartos,1 vaga, Aclimação
R$ 790.000,Rua Topázio,153 m²,3 quartos,2 vagas, Aclimação
R$ 425.000,Rua Almeida Torres,70 m²,2 quartos,Sem vaga, Aclimação
R$ 900.000,Avenida Lacerda Franco,145 m²,3 quartos,1 vaga, Aclimação
R$ 1.000.000,Rua Topázio,153 m²,3 quartos,1 vaga, Aclimação
R$ 414.000,Rua Vergueiro,34 m²,1 quarto,1 vaga, Aclimação
R$ 1.150.000,Rua Safira,117 m²,3 quartos,3 vagas, Aclimação
"R$ 546.035,56",Rua Bartolomeu de Gusmão,71 m²,2 quartos,1 vaga, Aclimação
R$ 600.000,Avenida Lacerda Franco,118 m²,3 quartos,1 vaga, Aclimação
R$ 520.000,Rua Doutor Nicolau de Sousa Queirós,75 m²,2 quartos,Sem vaga, Aclimação
R$ 586.000,Rua Muniz de Sousa,90 m²,3 quartos,1 vaga, Aclimação
R$ 1.300.000,Rua Topázio,180 m²,3 quartos,1 vaga, Aclimação
R$ 850.000,Rua Paulo Orozimbo,100 m²,3 quartos,2 vagas, Aclimação
R$ 600.000,Rua Castro Alves,60 m²,2 quartos,1 vaga, Aclimação
R$ 730.000,Rua Tamandaré,83 m²,3 quartos,1 vaga, Aclimação
R$ 600.000,Avenida da Aclimação,57 m²,1 quarto,1 vaga, Aclimação
R$ 1.300.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,170 m²,4 quartos,3 vagas, Aclimação
R$ 1.250.000,Rua Castro Alves,134 m²,3 quartos,2 vagas, Aclimação
R$ 430.000,Avenida Lacerda Franco,90 m²,2 quartos,Sem vaga, Aclimação
R$ 650.000,Rua Pires da Mota,86 m²,2 quartos,1 vaga, Aclimação
R$ 586.000,Avenida Lacerda Franco,100 m²,3 quartos,1 vaga, Aclimação
R$ 900.000,Avenida Armando Ferrentini,96 m²,3 quartos,1 vaga, Aclimação
R$ 540.000,Rua Álvaro Neto,70 m²,2 quartos,1 vaga, Aclimação
R$ 540.000,Rua Álvaro Neto,68 m²,2 quartos,1 vaga, Aclimação
R$ 550.000,Rua Bueno de Andrade,68 m²,3 quartos,1 vaga, Aclimação
R$ 750.000,Rua Doutor Neto de Araújo,50 m²,1 quarto,1 vaga, Aclimação
"R$ 819.432,49",Rua Rodrigo Cláudio,95 m²,3 quartos,2 vagas, Aclimação
"R$ 500.571,22",Rua do Paraíso,52 m²,2 quartos,1 vaga, Aclimação
R$ 500.000,Rua do Paraíso,52 m²,2 quartos,1 vaga, Aclimação
R$ 770.000,Rua do Paraíso,67 m²,2 quartos,1 vaga, Aclimação
R$ 320.000,Avenida Lins de Vasconcelos,52 m²,1 quarto,1 vaga, Aclimação
R$ 300.000,Rua Muniz de Sousa,48 m²,1 quarto,1 vaga, Aclimação
R$ 298.000,Rua Pires da Mota,35 m²,1 quarto,Sem vaga, Aclimação
R$ 290.000,Rua Almeida Torres,47 m²,1 quarto,Sem vaga, Aclimação
R$ 2.000.000,Rua Castro Alves,250 m²,4 quartos,3 vagas, Aclimação
R$ 610.000,Rua Doutor Neto de Araújo,57 m²,2 quartos,1 vaga, Aclimação
R$ 460.000,Rua Vergueiro,54 m²,2 quartos,Sem vaga, Aclimação
R$ 497.000,Rua Tamandaré,112 m²,2 quartos,Sem vaga, Aclimação
R$ 490.000,Rua Doutor Nicolau de Sousa Queirós,82 m²,2 quartos,Sem vaga, Aclimação
R$ 410.000,Rua Almeida Torres,76 m²,2 quartos,Sem vaga, Aclimação
"R$ 1.359.276,71",Rua Paula Ney,213 m²,5 quartos,Sem vaga, Aclimação
R$ 470.000,Avenida Lacerda Franco,80 m²,3 quartos,Sem vaga, Aclimação
R$ 285.000,Rua Muniz de Sousa,39 m²,1 quarto,Sem vaga, Aclimação
R$ 450.000,Rua Paulo Orozimbo,46 m²,1 quarto,1 vaga, Aclimação
R$ 1.480.000,Rua Nilo,93 m²,2 quartos,2 vagas, Aclimação
R$ 265.000,Rua Almeida Torres,39 m²,1 quarto,Sem vaga, Aclimação
R$ 250.000,Rua José Getúlio,35 m²,1 quarto,Sem vaga, Aclimação
"R$ 428.754,27",Avenida Lacerda Franco,83 m²,2 quartos,Sem vaga, Aclimação
R$ 660.000,Rua Paula Ney,100 m²,3 quartos,1 vaga, Aclimação
R$ 450.000,Rua Vergueiro,69 m²,2 quartos,Sem vaga, Aclimação
R$ 2.746.671,Rua Castro Alves,342 m²,4 quartos,4 vagas, Aclimação
R$ 400.000,Avenida Lacerda Franco,55 m²,2 quartos,Sem vaga, Aclimação
R$ 2.250.000,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,245 m²,3 quartos,4 vagas, Aclimação
R$ 640.000,Rua José Getúlio,71 m²,2 quartos,1 vaga, Aclimação
R$ 775.000,Rua Doutor Neto de Araújo,91 m²,2 quartos,1 vaga, Aclimação
R$ 595.000,Rua Doutor Nicolau de Sousa Queirós,60 m²,2 quartos,Sem vaga, Aclimação
R$ 790.000,Rua Loureiro da Cruz,93 m²,3 quartos,1 vaga, Aclimação
R$ 520.000,Rua Doutor Nicolau de Sousa Queirós,75 m²,2 quartos,Sem vaga, Aclimação
R$ 675.000,Rua Correia Dias,65 m²,2 quartos,2 vagas, Aclimação
R$ 890.000,Rua Paulo Orozimbo,79 m²,3 quartos,2 vagas, Aclimação
R$ 365.000,Rua Bueno de Andrade,48 m²,2 quartos,1 vaga, Aclimação
R$ 1.350.000,Rua Gaspar Lourenço,76 m²,2 quartos,2 vagas, Aclimação
R$ 1.900.000,Rua Paulo Orozimbo,290 m²,3 quartos,2 vagas, Aclimação
R$ 1.800.000,Rua Urano,270 m²,3 quartos,4 vagas, Aclimação
R$ 241.970,Rua Bueno de Andrade,32 m²,1 quarto,Sem vaga, Aclimação
R$ 910.000,Rua Topázio,160 m²,3 quartos,1 vaga, Aclimação
R$ 560.000,Rua Dom Duarte Leopoldo,75 m²,3 quartos,Sem vaga, Aclimação
R$ 1.089.000,Avenida Lacerda Franco,80 m²,3 quartos,2 vagas, Aclimação
"R$ 340.056,98",Rua Almeida Torres,49 m²,1 quarto,Sem vaga, Aclimação
R$ 400.000,Rua Doutor Nicolau de Sousa Queirós,60 m²,2 quartos,1 vaga, Aclimação
R$ 1.248.000,Avenida Armando Ferrentini,139 m²,3 quartos,1 vaga, Aclimação
R$ 825.000,Rua Batista Caetano,103 m²,3 quartos,2 vagas, Aclimação
R$ 450.000,Avenida Lacerda Franco,87 m²,2 quartos,1 vaga, Aclimação
R$ 442.000,Rua Miguel Teles Júnior,80 m²,2 quartos,Sem vaga, Aclimação
R$ 361.079,Rua Bueno de Andrade,48 m²,2 quartos,1 vaga, Aclimação
R$ 350.000,Rua Miguel Teles Júnior,60 m²,2 quartos,Sem vaga, Aclimação
R$ 850.000,Rua Doutor Nicolau de Sousa Queirós,110 m²,3 quartos,1 vaga, Aclimação
R$ 2.500.000,Rua Dona Carolina,149 m²,3 quartos,2 vagas, Aclimação
R$ 1.000.000,Rua Paulo Orozimbo,190 m²,4 quartos,2 vagas, Aclimação
R$ 2.459.280,Rua Doutor Neto de Araújo,146 m²,4 quartos,2 vagas, Aclimação
R$ 700.000,Rua Nilo,83 m²,2 quartos,1 vaga, Aclimação
R$ 450.000,Rua Vergueiro,47 m²,1 quarto,1 vaga, Aclimação
R$ 525.000,Rua Castro Alves,60 m²,1 quarto,1 vaga, Aclimação
R$ 995.000,Rua Paulo Orozimbo,78 m²,2 quartos,2 vagas, Aclimação
R$ 955.000,Rua Mazzini,166 m²,3 quartos,3 vagas, Aclimação
R$ 400.000,Rua Miguel Teles Júnior,80 m²,2 quartos,Sem vaga, Aclimação
R$ 500.000,Rua Saturno,120 m²,3 quartos,Sem vaga, Aclimação
R$ 500.000,Rua Miguel Teles Júnior,86 m²,3 quartos,Sem vaga, Aclimação
R$ 410.000,Avenida Turmalina,50 m²,1 quarto,Sem vaga, Aclimação
R$ 1.060.000,Rua Antônio Tavares,106 m²,3 quartos,2 vagas, Aclimação
R$ 750.000,Rua Topázio,49 m²,2 quartos,1 vaga, Aclimação
R$ 640.000,Rua Paulo Orozimbo,143 m²,3 quartos,1 vaga, Aclimação
R$ 460.000,Rua General Júlio Marcondes Salgado,84 m²,1 quarto,Sem vaga, Bom Retiro
R$ 650.000,Rua Amazonas,195 m²,3 quartos,1 vaga, Bom Retiro
R$ 460.000,Rua Vergueiro,54 m²,2 quartos,Sem vaga, Aclimação
R$ 995.000,Rua da Meação,125 m²,3 quartos,3 vagas, Água Rasa
R$ 550.000,Rua João Teixeira da Silva,76 m²,3 quartos,2 vagas, Água Rasa
R$ 290.000,Rua Rui Martins,70 m²,2 quartos,Sem vaga, Água Rasa
